protein_id,amplitude,amplitude_err,tau,tau_err,offset,offset_err,new_half_life,bins,exp_rmse,protein_groups,desc,used_for_analysis,GO,0h_A,05h_A,1h_A,2h_A,4h_A,8h_A,12h_A,0h_B,05h_B,1h_B,2h_B,4h_B,8h_B,12h_B,0h_C,05h_C,1h_C,2h_C,4h_C,8h_C,12h_C
Tb927.5.4600,,,,,,,,none,,Tb927.5.4600;Tb11.v5.0367;Tb05.5K5.240,"expression site-associated gene 3 (ESAG3) protein, putative;expression site-associated gene (ESAG) protein, putative;expression site-associated gene 3 (ESAG3) protein, putative",0,none,,,,,,,,,0.818662660207273,,,,,,,,,0.39417256464983547,,,
Tb927.5.4380,0.9698682263128724,,9.049092545514654,,2.1931567673050267e-11,,6.2318175728378895,8.0,0.029222411698399963,Tb927.5.4380;Tb05.5K5.30,"Kinetoplastid-specific Protein Phosphatase 1;serine/threonine protein phosphatase, putative",1,GO:0036064|ciliary basal body; GO:0016791|phosphatase activity; GO:0031981|nuclear lumen; GO:0005829|cytosol; GO:0030990|intraciliary transport particle; GO:0000910|cytokinesis; GO:0006470|protein dephosphorylation; GO:0003677|DNA binding; GO:0016787|hydrolase activity; GO:0097014|ciliary plasm; GO:0004722|protein serine/threonine phosphatase activity; GO:0005737|cytoplasm,0.9601173305562788,0.8984782051201862,0.9004745088397668,0.8347802201027146,0.6547796228358114,0.3946312044488964,0.243783972299031,0.9605113157417386,0.9265999628563472,0.9388994901307488,0.8212739526311448,0.6322385667602674,0.3675354979283935,0.2527283463958324,0.9474098241178852,0.9622533980245026,0.9052998312607236,0.8061829307355004,0.6796873744999457,0.3851177666648349,0.2300946539346205
Tb927.5.4390,1.0592234578751127,,9.331369922750193,,5.647489143001393e-10,,6.427477345745307,8.0,0.037349547162299435,Tb927.5.4390;Tb05.5K5.40,"hypothetical protein, conserved;hypothetical protein, conserved",1,none,1.0040288652270284,0.9656143069274971,0.9344886877018456,0.8341248707673221,0.6986456231444472,0.4087912847610817,0.2477015028254267,1.0257810779402228,0.972911688920122,0.9444145639352256,0.8645426674763891,0.7037447791744629,0.40537525003731895,0.23640493814705996,1.0005633134913208,1.0044580276625976,0.9328017599292578,0.8475369257011829,0.7001803673142019,0.3891444579325801,0.22056641090406526
Tb05.5K5.420,0.9557125349518965,,8.377751261292557,,4.14900847012234e-09,,5.7664792903987685,6.0,0.012558943049843318,Tb05.5K5.420;Tb11.1140;Tb927.5.4860;Tb09.v4.0033,"variant surface glycoprotein (VSG, pseudogene), putative;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), fragment",1,none,0.9515161883856806,0.8998559758690091,0.8111717292496525,0.7527208032330819,0.5992323143593349,0.3684332781706032,0.18369155704017867,0.929186699053522,0.9006594771667427,0.879654511257601,0.7534256705140493,0.5857658899059061,0.33651276082799897,0.2435799806739574,0.9303047902987038,0.9080447715797798,0.8593996880579846,0.7933036596760213,0.5899324937671803,0.3943719746111461,0.16576898108802726
Tb927.5.4400,1.0637251854240777,,10.518466250891947,,7.717182448629957e-10,,7.250309821294354,10.0,0.04857824744851523,Tb927.5.4400;Tb05.5K5.50,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005930|axoneme; GO:0005515|protein binding; GO:0005737|cytoplasm,0.9844848290228124,0.9500157895650062,0.8849087979678001,0.8994698399435265,0.7573803101389617,0.5025378921395841,0.3044790429805539,0.9917434937392586,0.9485200239672232,0.927541180815702,0.8862005006784002,0.7575564989793492,0.5165795499178099,0.2979217766647995,0.914271845906902,1.0041569190543225,0.932237599422196,0.8855801173972776,0.7144274203034937,0.5041661337155879,0.3167390239531689
Tb927.5.4410,1.0703970252471071,0.012022518105215128,4.853329633919314,0.21807981408373,0.0063598096348753685,0.009925297030758095,3.352110113062711,1.0,0.010258182901998585,Tb927.5.4410;Tb05.5K5.60,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0006364|rRNA processing,,0.9793878088083146,0.8720974874514767,0.7360391152502911,0.4946864406779661,0.1977700857839047,0.11858501606791695,,0.9331137553545932,0.9013812534664448,0.7287246522167122,0.4698980211496179,0.21466441875401407,0.09752555086628413,,0.9399525484351716,0.8720536287280174,0.7033908701854494,0.4786771812388245,0.19735623650107995,0.0959166526286773
Tb927.5.4420,0.986398970963046,0.03735940989189547,7.122041535458799,0.8273843348868921,0.06716119814106469,0.04263129766807877,5.394182320898477,5.0,0.01494843945137304,Tb927.5.4420;Tb05.5K5.70,"nucleolar RNA helicase II, putative;nucleolar RNA helicase II, putative",1,GO:0003729|mRNA binding; GO:0005634|nucleus; GO:0003723|RNA binding; GO:0004386|helicase activity; GO:0005524|ATP binding; GO:0008026|ATP-dependent helicase activity; GO:0005730|nucleolus; GO:0005654|nucleoplasm; GO:0003676|nucleic acid binding,1.0110653832421286,0.9890809947083122,0.9304700785815032,0.8025303829517881,0.6229771188419332,0.3850927058636011,0.2622861252966986,1.0230759393065454,0.9872963621762398,0.9391414118705038,0.8243996063579161,0.6110915458890459,0.3757620690359061,0.25020696580322443,1.0205484511655458,0.9910865605828222,0.937826397826398,0.8010919674338101,0.6180398242417748,0.3897745106964042,0.2499965872146284
Tb927.5.4430,0.9113815200704548,,5.530166648709357,,9.627232344655569e-11,,3.7926840092426097,2.0,0.03587470368508318,Tb927.5.4430;Tb05.5K5.80,"calcium/calmodulin-dependent protein kinase, putative;calcium/calmodulin-dependent protein kinase, putative",1,GO:0004674|protein serine/threonine kinase activity; GO:0004672|protein kinase activity; GO:0005524|ATP binding; GO:0006468|protein phosphorylation,,,0.7879650224529892,0.633514690931273,0.462590123094959,0.11157060820218714,,,0.8295145229453587,0.7706381003046864,0.7049373957859634,0.3791212825933757,0.17914959016393442,,,0.8340015238230241,0.8007363460911849,0.659980297766057,0.4793167163045434,,0.36744207444583854
Tb927.5.4440,0.942680359516012,,10.138410755968737,,1.1553160650379366e-09,,6.986875431297048,9.0,0.023492101144268755,Tb927.5.4440;Tb05.5K5.90,"dynein light chain, putative;dynein light chain, putative",1,GO:0005930|axoneme; GO:0007017|microtubule-based process; GO:0030286|dynein complex; GO:0005737|cytoplasm,,0.9069936950755924,0.8619204260465007,0.7837667467724808,0.642195244249965,0.4165234304207121,0.2871324513741239,0.9376424063273948,0.9165559162124778,0.9111245637123075,0.8223690415553762,0.6320045158435932,0.4227545497042088,0.2270163580328215,0.9314217304876079,0.9169784553873574,0.8592057016926901,0.8185105391446273,0.6450235966872617,0.4013120852570786,0.2707055906154875
Tb06.3A7.960,0.8237034657942037,0.09621031947715508,6.955376606129531,1.891809367196972,0.09055138407393426,0.09674703014537682,5.583759130759922,5.0,0.03309240319386897,Tb06.3A7.960,hypothetical protein,1,none,0.92085292098703,0.751567481884058,0.8813302191879268,0.6674914557553285,0.5447381604696674,0.3825934123416428,0.2588809083324265,0.913679382440431,0.7932665244418289,0.8384009487769108,0.7135553646298715,0.5818580899109178,0.33285407554671964,0.2255227756139333,0.9142727680940524,0.7862910712775851,0.7743240207490912,0.7231034784019571,0.5888573970345965,0.3722941275244623,0.2446326130254429
Tb07.11L3.100,0.8246391824931919,0.06964875364723286,5.415150390127945,2.058544061460487,0.15336532133641834,0.10983502857879072,4.815196100311642,3.0,0.018944271796853332,Tb07.11L3.100;Tb927.7.2150,SUMO-interacting motif-containing protein;SUMO-interacting motif-containing protein,1,none,,0.7155937645075378,,0.6367950247830653,0.5898471291363541,0.3642267927308448,0.3907757792118633,,,0.7758117013383166,0.7224728761514841,0.480349578773325,0.3065066286320333,0.3270251972212411,,,,0.7860510844603216,0.6743995902850276,0.34375370672178723,0.1868625689985718
Tb927.7.2140,1.0022223544948914,,5.539977600589032,,7.992317918592562e-11,,3.799484442735751,2.0,0.014001722584592972,Tb927.7.2140;Tb07.11L3.90,"zinc finger protein family member, putative;zinc finger protein family member, putative",1,GO:0031981|nuclear lumen; GO:0003723|RNA binding; GO:0097014|ciliary plasm; GO:0046872|metal ion binding; GO:0010608|posttranscriptional regulation of gene expression; GO:0005654|nucleoplasm; GO:0005737|cytoplasm,,0.9186172573496264,0.8808490453871329,0.6653818774939563,0.4591044649784864,0.2600044501364795,0.10958452992792893,1.017555312383487,0.9155229570592264,0.8827097633545531,0.7067400374804467,0.4777259879253568,0.1968654752302925,0.12228007511737088,,0.9027660534838972,0.8416861192059578,0.7107710532521396,0.5369525663716815,0.27327269141496124,0.09026016001579322
Tb08.27P2.160,1.0232767515767978,,7.331504045698514,,1.4951817561836833e-11,,5.041275946731115,4.0,0.05412291197462349,Tb08.27P2.160;Tb927.3.430;Tb08.27P2.520;Tb11.57.0050;Tb927.11.18800;Tb927.11.19120;Tb11.0700;Tb11.0220;Tb10.v4.0147;Tb10.v4.0255;Tb927.3.160;Tb927.11.19900;Tb927.11.20560;Tb927.11.20150,"expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), truncated;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), frameshifted and degenerate;expression site-associated gene 3 (ESAG3) protein, putative;expression site-associated gene 3 (ESAG3) protein, putative (pseudogene);expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), degenerate;variant surface glycoprotein (VSG, pseudogene), putative;expression site-associated gene 3 (ESAG3, pseudogene), putative;expression site-associated gene 3 (ESAG3), degenerate;expression site-associated gene 3 (ESAG3), degenerate and frameshifted;expression site-associated gene 3 (ESAG3, pseudogene), putative;expression site-associated gene 3 (ESAG3), frameshifted and degenerate",1,none,0.9446025160975228,0.9243817209644398,0.8878491339276311,0.8341164138470694,0.6560595381090955,0.3361777320936318,0.2406039497573086,0.9900106465896088,0.9376348845696526,1.0049831597825574,0.9099861498572321,0.6402481416903735,0.3664818442302683,0.19889487226612754,0.9254091262574315,1.045369794145762,0.9979696061106994,0.8052450331125829,0.7014500377704301,0.3568763172490294,0.19935683969964088
Tb08.27P2.250,,,,,,,,none,,Tb08.27P2.250,"expression site-associated gene 3 (ESAG3), frameshift",0,none,,,,0.7716995924898123,,,,,,,0.7631166185522087,,,,,,,,0.5214788097977973,,
Tb09.v4.0010,,,,,,,,none,,Tb09.v4.0010;Tb927.9.15680,"variant surface glycoprotein (VSG), pseudogene;transferrin receptor subunit",0,GO:0020012|evasion or tolerance of host immune response,,,,,,,,,,,,,,,,,,,,,
Tb927.9.15850,,,,,,,,none,,Tb927.9.15850;Tb09.v4.0110;Tb09.v4.0014,hypothetical protein;hypothetical protein;hypothetical protein,0,none,,,,0.782956739746419,0.5643974425190119,0.2631107423246314,0.1573043200816795,,,,0.7287301442481636,0.4995735426255661,0.2248809746954077,0.30425708369109555,,,,0.772081993896236,0.554513731825525,0.17375998087497013,
Tb09.v4.0015,0.9156725029808991,0.04092810807656585,3.158816142137658,0.6447162496131094,0.1112362256152004,0.015761812779719147,2.55053534492613,1.0,0.052493275756819405,Tb09.v4.0015;Tb927.9.15870,hypothetical protein;hypothetical protein,1,none,0.9400782699911242,0.8819333884634285,0.8720204182618435,0.5613274475067523,0.25709749823139755,0.1114370291794774,0.17105499872095994,0.9015089138441376,0.8626927438953825,0.8759222978989972,0.5669398961764656,0.348636804079898,0.23322890583165465,0.13075539547105192,1.0080993569805279,0.8878049318391708,0.8392195051829608,0.5945593187428919,0.2867649075730471,0.1489880830462713,0.13279319042842258
Tb11.v5.0463,0.9607243799584436,0.02785189182265373,2.750793989199635,0.16510586821035253,0.04145368725994159,0.00614985337312538,1.9849193856574519,1.0,0.024908271023087646,Tb11.v5.0463;Tb09.v4.0016;Tb927.9.15890,"expression site-associated gene (ESAG) protein, putative;expression site- associated gene (ESAG) protein, putative;expression site-associated gene 5 (ESAG5) protein, putative",1,GO:0008289|lipid binding,0.9938680650934368,0.8378592100016722,0.6866056256308766,0.4298658178942838,0.25248205945341456,0.10006194682063783,0.0671822414542832,0.9864037544296524,0.8845456825020517,0.7688302819647109,0.4736814781483774,0.2707923091566724,0.11589567342802212,0.05628788546826777,0.9077815983651694,0.8759320762525543,0.7187499382868429,0.4829640335185011,0.28240549898689377,0.092273559553221,0.049375820031162865
Tb09.v4.0017,1.3427672705981344,,10.061005132083926,,1.5403434083793852e-10,,6.933221930135629,none,0.232051167213835,Tb09.v4.0017;Tb927.9.15930,"rab1 (small gtp-binding protein rab1, putative);small GTPase, putative",0,GO:0003924|GTPase activity; GO:0005525|GTP binding,0.9338856461255056,,0.5143199610199772,,0.874327356885543,0.6386449803204169,0.3996308585832529,,0.9450621591674452,,0.9600698979771949,0.8919924343774508,,0.4069560382068491,,,,0.3141986885494447,0.9121714426011014,0.6143962001904283,0.4077823802163833
Tb09.v4.0067,1.046068749511032,0.11441018103132893,9.45416028843575,1.819911925844936,7.028155835087091e-11,0.013747124751719537,6.512589137207385,8.0,0.015367920327664781,Tb09.v4.0067,"retrotransposon hot spot protein, pseudogene",1,none,1.0129211858046188,1.0048218600679495,0.9326250769740894,0.8609323086381802,0.6790846131675382,0.40645194197332696,0.33511706263498925,1.0290721932304645,0.9968129560891092,0.9709276019003552,0.8730265633417595,0.697933740404273,0.41846885350029495,0.2726776478339648,1.026657399185015,1.0107766226563517,0.9596217719109286,0.8470857940284333,0.6826595310147433,0.454519698387752,0.29467279707169003
Tb09.v4.0107,,,,,,,,none,,Tb09.v4.0107,"expression site-associated gene 5 (ESAG5) protein, putative",0,GO:0008289|lipid binding,,0.7506183700855595,0.5026911926180379,,0.2004820596022358,,,,0.6701460677739169,0.6116749568955336,,0.16637611399224614,,0.0390517820980834,0.8349824203629223,,0.5132417607996167,,0.1988237716276676,,
Tb09.v4.0111,,,,,,,,none,,Tb09.v4.0111,"variant surface glycoprotein (VSG, pseudogene), putative",0,GO:0020012|evasion or tolerance of host immune response,,,,0.26335801956509924,,,,,,0.5893334693253098,0.27331674246975035,,,,,,0.7179139224239129,,,,
Tb09.v4.0119,,,,,,,,none,,Tb09.v4.0119,"variant surface glycoprotein (VSG, pseudogene), putative",0,none,,,,,,,,,,,0.31757935119887165,,,,,,,,,,
Tb09.v4.0150,,,,,,,,none,,Tb09.v4.0150,"variant surface glycoprotein (VSG, pseudogene), putative",0,none,,0.6345129775996168,,0.5807740767055348,0.44001351435900654,,,,0.661814932153745,,,,,,,,0.5577878387488203,,0.3016566946752597,0.1891229949767028,
Tb09.v4.0151,,,,,,,,none,,Tb09.v4.0151,hypothetical protein,0,none,,0.5545123118216828,0.4161594926004229,0.25498528216704297,,,,,,0.4824538261075575,0.7351931593088706,,,,,0.5784624788153252,0.510256521959374,0.32333475393063915,,,
Tb09.v4.0154,,,,,,,,none,,Tb09.v4.0154,"expression site-associated gene 3 (ESAG3, pseudogene), putative",0,none,,,0.8875264098362173,0.8370904848283557,0.6749633587612692,,0.21925476502255206,,,0.8988045832935952,0.8090160151755451,0.6002245587683065,,0.20297513174320847,,,,0.7708182698363459,0.6581453546192096,,
Tb927.10.4430,0.9017371778847474,,5.8570691941859705,,1.6736534380612513e-09,,4.01927559714197,2.0,0.0182851568786469,Tb927.10.4430;Tb10.v4.0033;Tb11.v5.0767,"pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1, putative",1,GO:0003729|mRNA binding; GO:0003723|RNA binding; GO:0016071|mRNA metabolic process; GO:0010608|posttranscriptional regulation of gene expression; GO:0016049|cell growth; GO:0005737|cytoplasm; GO:0005488|binding,0.9009923354373309,0.7992768930500949,0.7195223682298478,0.681344143786588,0.4721882740968513,0.23204803750802155,0.13929265918089184,0.8864643910661609,0.8058496442627916,0.7537306027731044,0.6619109150314733,0.5152908981856351,0.2388124146812621,0.11698772797706353,0.9087507041643196,0.8459104125022716,0.7458755493970166,0.6522599050081165,0.4734717002511756,0.2627483748570153,0.11286286444920672
Tb927.10.4440,1.011835685495032,0.35169721438679746,7.0605698193361945,3.4579996480975033,2.844799951162713e-10,0.03626056274212039,4.853478653473264,3.0,0.023524941223764632,Tb927.10.4440;Tb10.v4.0034,"predicted SAP domain protein;SAP domain containing protein, putative",1,GO:0005635|nuclear envelope; GO:0005634|nucleus,,0.9446510193815012,0.7754975194122151,0.7661444530192428,0.5798755598595812,0.4770308283848657,0.13967536488279525,,0.9082174134419552,0.85471343800329,0.7642241844097565,0.4965553570480959,0.2553588784032975,0.1265163944101917,,0.9607755492461624,0.8846042549940797,0.7582146006329286,0.5475560038101642,0.2698172435319415,
Tb927.10.4450,1.037638400127821,,8.948515823889739,,8.743339385830495e-11,,6.162103102359405,7.0,0.03543763497064882,Tb927.10.4450;Tb10.v4.0035;Tb11.v5.0757,"stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative",1,GO:0005515|protein binding,0.9790367691380352,0.9512595838878658,0.9172652489184084,0.8643949222291972,0.6849615207270456,0.3820234348003645,0.2328665955831026,0.9819241429293042,0.9611311295768024,0.914526055862278,0.8748509526218177,0.6810871441388838,0.3953536152752122,0.2317583815195605,0.9639955077574376,0.9717126236654926,0.9104843238613771,0.8610247058604166,0.6807631912697243,0.38942085262212395,0.2387865788536846
Tb927.10.4460,0.9797328595730526,,8.718334011482757,,3.211142463044325e-11,,6.002553227608067,7.0,0.027118363862161536,Tb927.10.4460;Tb10.v4.0036,"leucine carboxyl methyltransferase, putative;leucine carboxyl methyltransferase, putative",1,GO:0008168|methyltransferase activity; GO:0032259|methylation; GO:0003880|protein C-terminal carboxyl O-methyltransferase activity; GO:0006464|cellular protein modification process,0.9849289112447008,0.9327868080094228,0.8970733353724778,0.7702348269243497,0.6319121304590346,0.4361649504917872,0.21554290068932075,0.9154483815509038,0.9289151854477886,0.8568667387690813,0.7934938644940395,0.6588267853504881,0.3990765498991936,0.21558128887911748,0.8898410116304128,0.9097765110511244,0.8532190154455832,0.7075783053007716,0.6729972440680245,0.4057674258583913,0.2372826908040341
Tb927.10.4470,0.8362007745760138,0.051756834752071657,6.750129764594647,1.6601931688610132,0.1311529343949629,0.06324277090589599,5.77991406457159,6.0,0.04136305033417352,Tb927.10.4470;Tb10.v4.0037,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005488|binding,,,0.9021937154206271,0.7603367346938775,0.6433644910434481,0.39026481195260176,0.3516237322186579,,,0.6814404425088216,0.7694147978479732,0.5688008310937465,0.40381804892729695,0.27846473708846936,,,0.7581437644167026,0.9040170121715949,0.5547974603451662,0.3615225295715009,0.2667213019987994
Tb927.10.4490,1.0134672292538331,0.039109512669560136,9.059157384792627,0.7652828831904006,0.01913072411918693,0.047477756274938235,6.4103194007051725,8.0,0.006537500299303403,Tb927.10.4490;Tb10.v4.0039,"hypothetical protein, conserved;hypothetical protein, conserved",1,GO:0005737|cytoplasm,,,,0.8081123223817758,0.6631004961735767,0.4983023571808354,,,,,0.8456132490480944,0.6759057105923504,0.3808989322236202,0.3241308309787999,,,0.8311971793554332,0.8440417321768827,0.6729981780687528,0.4735884381671869,0.2472901265619027
Tb927.10.4500,0.9661904501610232,0.262503537119127,8.775819154472416,5.770254860043694,5.861042762234093e-10,0.06994661763701591,6.042398897399659,7.0,0.03437188008405754,Tb927.10.4500;Tb10.v4.0040,"cap guanine-N7 methyltransferase;mRNA capping methyltransferase, putative",1,GO:0006370|7-methylguanosine mRNA capping; GO:0009452|7-methylguanosine RNA capping; GO:0008168|methyltransferase activity,,,0.8825661997202153,0.7389119491705831,0.6006768074445239,0.4267069134351743,0.21577236240734335,,,,0.7686673135569727,0.6129078870405467,0.4584913210403937,0.2289864644603501,,,0.8406321170973153,0.6760329816413415,0.5332550723378373,0.42723857973421936,0.2047148669379044
Tb10.v4.0041,1.017635897337807,,6.956319001409278,,6.444125233429077e-10,,4.781217495355519,3.0,0.09124539050395013,Tb10.v4.0041;Tb927.10.4510,"PUB domain containing protein, putative;PUB domain containing protein, putative",1,none,,0.9545523646416436,0.8722982573617077,0.7945449796324513,0.5495106976744187,0.3140606841677641,0.16656304236855546,,,0.4825492037710533,0.7336157493589969,0.5961515480620294,0.3463478156546181,0.1911371830539911,0.7675502672059996,,,0.7664564824278639,0.5753034732580439,0.3164630707365492,0.1631235843480317
Tb927.10.4330,0.7734534055257103,0.02421370053070981,4.614460069886824,0.5929214122818421,0.22247143892263052,0.024001804581034826,4.703185955804084,3.0,0.02827582335602065,Tb927.10.4330;Tb11.v5.1012;Tb10.v4.0043,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative;2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative;chrX additional, unordered contigs",1,GO:0003824|catalytic activity; GO:0003863|3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity; GO:0005947|mitochondrial alpha-ketoglutarate dehydrogenase complex; GO:0005739|mitochondrion; GO:0008152|metabolic process,,,0.8734200779863315,0.7739752626746915,0.6050820490954499,0.3797831049785857,0.2578834307992203,,0.8825125419396072,0.8126407029352788,0.7190710785663162,0.4888370145854615,0.30539108772843043,0.29777409896882545,0.7571469506540025,0.9805523926757964,0.6538058302967205,0.6653032812586458,0.5985711983716394,0.3807160254076142,0.262508789336728
